Condition	Day	Stimulus	Score	Reqresponse	Actresponse	RT	isPMcue
s	1	spleen	1	d	d	4708	
s	1	cigar	1	d	d	1484	
s	1	ludicrous	1	d	d	767	
s	1	gliding	1	d	d	642	
s	1	obstinate	1	d	d	796	
s	1	epiphany	1	d	d	788	
s	1	defogue	1	s	s	1420	
s	1	trinity	1	d	d	722	
s	1	inexorably	0	d	s	2316	
s	1	protruding	1	d	d	719	
s	1	chambseur	1	s	s	1690	
s	1	devath	1	s	s	1077	
s	1	atfillate	1	s	s	1237	
s	1	noxious	0	d	s	837	
s	1	hocignaphy	1	s	s	815	
s	1	uning	1	s	s	1165	
s	1	assuring	1	d	d	623	
s	1	hello	1	d	d	453	
s	1	telsh	0	s	d	1834	
s	1	chaotor	1	s	s	797	j
s	1	erratic	1	d	d	2581	
s	1	wheting	0	s	d	898	
s	1	bilinity	1	s	s	2442	
s	1	orthodoxy	1	d	d	973	
s	1	pentagon	1	d	d	794	
s	1	congrode	0	s	d	2178	
s	1	toring	0	s	d	650	j
s	1	inklining	1	s	s	1440	
s	1	sursiss	1	s	s	1194	
s	1	ceremonial	1	d	d	962	
s	1	neenish	1	s	s	1133	
s	1	predefity	1	s	s	1322	
s	1	poultry	1	d	d	685	
s	1	enfire	0	s	d	1264	
s	1	posiration	1	s	s	1024	
s	1	bungalow	1	d	d	677	
s	1	nocturnal	1	d	d	1605	
s	1	malaise	0	d	s	912	
s	1	moisture	1	d	d	650	
s	1	recoitism	0	s	d	1316	
s	1	generator	1	d	d	591	j
s	1	retaliate	1	d	d	1407	
s	1	caustic	1	d	d	898	
s	1	compulsive	1	d	d	767	
s	1	cadsurn	1	s	s	946	
s	1	trimulite	0	s	d	1306	
s	1	behaving	1	d	d	724	
s	1	awrarize	1	s	s	847	
s	1	thack	0	s	d	1122	
s	1	nefry	1	s	s	1303	
s	1	cataract	1	d	d	1076	
s	1	grumbling	1	d	d	708	
s	1	simulator	1	d	j	764	j
s	1	generic	1	d	d	687	
s	1	vibration	1	d	d	1106	
s	1	shady	1	d	d	586	
s	1	brigimen	0	s	d	1178	
s	1	crate	1	d	d	554	
s	1	ridicule	1	d	d	594	
s	1	mendash	1	s	s	818	
s	1	canfine	1	s	s	735	
s	1	pausing	1	d	d	781	
s	1	intrusion	1	d	d	1458	
s	1	flutter	1	d	d	591	
s	1	snack	1	d	d	575	
s	1	arithmetic	1	d	d	1293	
s	1	dividing	1	d	d	746	
s	1	pamshy	1	s	s	890	
s	1	emblem	1	d	d	901	
s	1	distose	0	s	d	1234	
s	1	evolve	1	d	d	669	
s	1	antidote	1	d	d	717	
s	1	allegory	0	d	s	2053	
s	1	smath	1	s	s	1269	
s	1	turmint	1	s	s	1101	
s	1	escalator	1	d	j	1090	j
s	1	arrogance	1	d	d	1445	
s	1	excryling	1	s	s	912	
s	1	sketch	1	d	d	784	
s	1	crumbling	1	d	d	693	
s	1	infringing	1	d	d	618	
s	1	resonant	1	d	d	1056	
s	1	strepe	1	s	s	909	
s	1	niquodan	1	s	s	877	
s	1	luddite	0	d	s	949	
s	1	duress	1	d	d	1032	
s	1	pigment	1	d	d	624	
s	1	sponing	1	s	s	1445	
s	1	resurrect	1	d	d	832	
s	1	toret	1	s	j	864	j
s	1	catomous	1	s	s	1317	
s	1	erase	1	d	d	708	
s	1	juggle	1	d	d	557	
s	1	depocatism	1	s	s	1204	
s	1	absorption	1	d	d	1359	
s	1	blanind	1	s	s	890	
s	1	mitorel	1	s	j	820	j
s	1	incirage	1	s	s	882	
s	1	badminton	1	d	d	1100	
s	1	organizer	1	d	d	1442	
s	1	goration	1	s	s	1068	
s	1	pedarral	1	s	s	1468	
s	1	anfies	1	s	s	588	
s	1	beetiche	1	s	s	620	
s	1	pacify	1	d	d	706	
s	1	britille	1	s	s	1498	
s	1	simulation	1	d	d	1119	
s	1	semester	1	d	d	714	
s	1	metric	1	d	d	626	
s	1	merging	1	d	d	602	
s	1	impulse	1	d	d	533	
s	1	fidelity	1	d	d	586	
s	1	saviour	1	d	d	490	
s	1	stuggle	0	s	d	437	
s	1	funniest	1	d	d	848	
s	1	purge	1	d	d	578	
s	1	atstahute	1	s	s	672	
s	1	urnard	1	s	s	672	
s	1	unicorn	1	d	d	864	
s	1	desolation	1	d	d	981	
s	1	ucusc	1	s	s	642	
s	1	incaisia	1	s	s	749	
s	1	myriad	1	d	d	941	
s	1	grenting	1	s	s	770	
s	1	musel	1	s	s	693	
s	1	insasition	1	s	s	1466	
s	1	adotorlent	1	s	s	762	j
s	1	nucleus	1	d	d	685	
s	1	sombre	1	d	d	1760	
s	1	irramicate	1	s	s	971	
s	1	gimmick	1	d	d	725	
s	1	cascade	1	d	d	719	
s	1	allic	1	s	s	826	
s	1	narrator	1	d	j	746	j
s	1	qualifier	1	d	d	842	
s	1	fathiup	1	s	s	860	
s	1	imatiue	1	s	s	722	
s	1	calloge	1	s	s	684	
s	1	mandate	1	d	d	703	
s	1	blade	1	d	d	772	
s	1	sychlom	1	s	s	666	
s	1	disnel	1	s	s	970	
s	1	pollutant	1	d	d	1028	
s	1	emerald	1	d	d	556	
s	1	beacon	1	d	d	596	
s	1	horrendous	1	d	d	1092	
s	1	goniant	1	s	s	682	
s	1	purgatory	1	d	j	844	j
s	1	caoing	0	s	d	687	
s	1	mortrey	1	s	s	1836	
s	1	collegiate	0	d	s	980	
s	1	duration	1	d	d	1517	
s	1	geography	1	d	d	1813	
s	1	decorating	1	d	d	1258	
s	1	paradigm	1	d	d	623	
s	1	sittinest	1	s	s	837	
s	1	stodel	1	s	s	981	
s	1	roncachio	1	s	s	850	
s	1	inneying	1	s	s	533	
s	1	mischief	1	d	d	714	
s	1	cetcinate	1	s	s	706	
s	1	decreasing	1	d	d	810	
s	1	denluting	1	s	s	821	
s	1	valiant	1	d	d	706	
s	1	satasy	1	s	s	634	
s	1	nopstil	1	s	s	1122	
s	1	vambitable	1	s	s	589	
s	1	calker	1	s	s	653	
s	1	spoil	1	d	d	714	
s	1	catod	1	s	s	882	
s	1	riegeing	1	s	s	621	
s	1	plemic	1	s	s	530	
s	1	instructor	1	d	j	805	j
s	1	plang	1	s	s	912	
s	1	recipient	1	d	d	688	
s	1	intosnant	1	s	s	834	
s	1	acant	1	s	s	754	
s	1	manic	0	d	s	578	
s	1	pedal	1	d	d	938	
s	1	lethal	1	d	d	640	
s	1	stosier	1	s	s	730	
s	1	gravel	1	d	d	869	
s	1	tortuous	1	d	j	829	j
s	1	fulcrum	0	d	s	813	
s	1	sprumble	1	s	s	1028	
s	1	prorne	1	s	s	716	
s	1	misalyst	1	s	s	964	
s	1	dismal	1	d	d	751	
s	1	inchyx	1	s	s	735	
s	1	lelipall	1	s	s	588	
s	1	writight	1	s	s	636	
s	1	migrelle	1	s	s	868	
s	1	anejuciral	1	s	s	556	
s	1	vault	1	d	d	612	
s	1	blatant	1	d	d	730	
s	1	horizontal	1	d	d	1076	
s	1	premise	1	d	d	644	
s	1	pangy	1	s	s	1167	
s	1	mystique	1	d	d	706	
s	1	cough	1	d	d	570	
s	1	consake	1	s	s	772	
s	1	remitories	1	s	j	810	j
s	1	testified	1	d	d	580	
s	1	hindrance	1	d	d	722	
s	1	attipe	1	s	s	732	
s	1	starl	0	s	d	618	
s	1	bravado	1	d	d	634	
s	1	chuncing	1	s	s	658	
s	1	inflating	1	d	d	559	
s	1	osoque	1	s	s	570	
s	1	ingerpi	0	s	d	581	
s	1	dictator	1	d	j	669	j
s	1	incland	1	s	s	733	
s	1	scuffle	1	d	d	778	
s	1	eternity	1	d	d	639	
s	1	gallit	1	s	s	602	
s	1	esoteric	0	d	s	1437	
s	1	conceive	1	d	d	719	
s	1	warchlet	1	s	s	1850	
s	1	studdorn	1	s	s	805	
s	1	dalding	1	s	s	815	
s	1	whachiyty	1	s	s	588	
s	1	stoic	1	d	d	796	
s	1	cammeryle	1	s	s	724	
s	1	majorities	1	d	d	2031	
s	1	torpot	1	s	j	975	j
